,t,px,psi_px
0,0.0,0.0,0.1509
1,0.0,0.1047,1.792e-16
2,0.0,0.2094,6.394e-16
3,0.0,0.3142,3.547e-15
4,0.0,0.4189,5.167e-15
5,0.0,0.5236,13980.0
6,0.0,0.6283,5.167e-15
7,0.0,0.733,3.54e-15
8,0.0,0.8378,6.218e-16
9,0.0,0.9425,1.484e-16
10,0.0,1.0472,1.133e-16
11,0.0,1.1519,5.909e-18
12,0.0,1.2566,1.646e-17
13,0.0,1.3614,7.875e-18
14,0.0,1.4661,5.938e-19
15,0.0,1.5708,6.316e-19
16,0.0,1.6755,9.064e-19
17,0.0,1.7802,5.535e-19
18,0.0,1.885,7.842e-19
19,0.0,1.9897,9.641e-19
20,0.0,2.0944,9.175e-19
21,0.0,2.1991,7.495e-19
22,0.0,2.3038,7.983e-19
23,0.0,2.4086,1.022e-18
24,0.0,2.5133,1.054e-18
25,0.0,2.618,1.057e-18
26,0.0,2.7227,9.782e-19
27,0.0,2.8274,9.292e-19
28,0.0,2.9322,1.173e-18
29,0.0,3.0369,1.202e-18
30,0.0,3.1416,1.02e-18
31,0.0,3.2463,1.445e-18
32,0.0,3.351,1.296e-18
33,0.0,3.4558,1.768e-18
34,0.0,3.5605,1.302e-18
35,0.0,3.6652,2.127e-18
36,0.0,3.7699,1.642e-18
37,0.0,3.8746,2.076e-18
38,0.0,3.9794,2.505e-18
39,0.0,4.0841,2.226e-18
40,0.0,4.1888,3.565e-18
41,0.0,4.2935,9.543e-18
42,0.0,4.3982,3.574e-18
43,0.0,4.5029,6.08e-18
44,0.0,4.6077,7.759e-18
45,0.0,4.7124,6.567e-18
46,0.0,4.8171,6.363e-18
47,0.0,4.9218,9.913e-18
48,0.0,5.0265,8.315e-18
49,0.0,5.1313,5.523e-18
50,0.0,5.236,6.866e-18
51,0.0,5.3407,1.375e-17
52,0.0,5.4454,1.175e-17
53,0.0,5.5501,6.964e-18
54,0.0,5.6549,1.555e-17
55,0.0,5.7596,1.619e-17
56,0.0,5.8643,1.568e-17
57,0.0,5.969,1.599e-17
58,0.0,6.0737,1.364e-17
59,0.0,6.1785,1.762e-17
60,0.0,6.2832,1.179e-17
61,0.0,6.3879,1.314e-17
62,0.0,6.4926,1.688e-17
63,0.0,6.5973,8.163e-18
64,0.0,-6.7021,2.05e-17
65,0.0,-6.5973,8.31e-18
66,0.0,-6.4926,1.689e-17
67,0.0,-6.3879,1.318e-17
68,0.0,-6.2832,1.222e-17
69,0.0,-6.1785,1.851e-17
70,0.0,-6.0737,1.407e-17
71,0.0,-5.969,1.598e-17
72,0.0,-5.8643,1.57e-17
73,0.0,-5.7596,1.636e-17
74,0.0,-5.6549,1.565e-17
75,0.0,-5.5501,6.992e-18
76,0.0,-5.4454,1.176e-17
77,0.0,-5.3407,1.375e-17
78,0.0,-5.236,6.868e-18
79,0.0,-5.1313,5.531e-18
80,0.0,-5.0265,8.319e-18
81,0.0,-4.9218,9.97e-18
82,0.0,-4.8171,6.376e-18
83,0.0,-4.7124,6.568e-18
84,0.0,-4.6077,7.758e-18
85,0.0,-4.5029,6.055e-18
86,0.0,-4.3982,3.532e-18
87,0.0,-4.2935,9.524e-18
