,t,px,psi_px
27776,107.0,-13.4041,1.985e-15
41856,162.0,-13.4041,2.298e-11
15232,58.0,-13.4041,2.174e-16
36480,141.0,-13.4041,1.086e-12
8576,32.0,-13.4041,1.029e-16
42624,165.0,-13.4041,3.566e-11
34944,135.0,-13.4041,1.859e-13
3968,14.0,-13.4041,7.18e-17
7808,29.0,-13.4041,9.594e-17
16768,64.0,-13.4041,2.557e-16
26752,103.0,-13.4041,1.515e-15
24960,96.0,-13.4041,1.238e-15
21376,82.0,-13.4041,6.36e-16
50048,194.0,-13.4041,1.09e-09
43392,168.0,-13.4041,4.228e-11
4736,17.0,-13.4041,7.549e-17
35712,138.0,-13.4041,5.47e-13
16000,61.0,-13.4041,2.365e-16
23168,89.0,-13.4041,8.847e-16
9856,37.0,-13.4041,1.178e-16
1664,5.0,-13.4041,6.32e-17
47744,185.0,-13.4041,3.084e-10
8832,33.0,-13.4041,1.056e-16
24704,95.0,-13.4041,1.179e-15
29824,115.0,-13.4041,3.69e-15
42880,166.0,-13.4041,3.789e-11
10880,41.0,-13.4041,1.301e-16
40832,158.0,-13.4041,1.276e-11
15744,60.0,-13.4041,2.236e-16
6784,25.0,-13.4041,8.789e-17
9088,34.0,-13.4041,1.086e-16
21888,84.0,-13.4041,7.191e-16
640,1.0,-13.4041,6.018e-17
14464,55.0,-13.4041,1.914e-16
35968,139.0,-13.4041,7.078e-13
2944,10.0,-13.4041,6.77e-17
32640,126.0,-13.4041,1.328e-14
19072,73.0,-13.4041,3.93e-16
31104,120.0,-13.4041,5.227e-15
20608,79.0,-13.4041,5.542e-16
48768,189.0,-13.4041,4.547e-10
37248,144.0,-13.4041,1.929e-12
29312,113.0,-13.4041,2.978e-15
13440,51.0,-13.4041,1.71e-16
7296,27.0,-13.4041,9.174e-17
25216,97.0,-13.4041,1.218e-15
17536,67.0,-13.4041,3.053e-16
34176,132.0,-13.4041,8.014e-14
17280,66.0,-13.4041,2.789e-16
36992,143.0,-13.4041,1.619e-12
17024,65.0,-13.4041,2.703e-16
30848,119.0,-13.4041,4.526e-15
41600,161.0,-13.4041,1.922e-11
28544,110.0,-13.4041,2.442e-15
14720,56.0,-13.4041,1.976e-16
49024,190.0,-13.4041,5.289e-10
38016,147.0,-13.4041,3.274e-12
26240,101.0,-13.4041,1.408e-15
30336,117.0,-13.4041,3.808e-15
39552,153.0,-13.4041,6.638e-12
12160,46.0,-13.4041,1.481e-16
44928,174.0,-13.4041,9.54e-11
36224,140.0,-13.4041,8.704e-13
35200,136.0,-13.4041,2.996e-13
38272,148.0,-13.4041,3.945e-12
49792,193.0,-13.4041,8.595e-10
1920,6.0,-13.4041,6.402e-17
22144,85.0,-13.4041,7.788e-16
384,0.0,-13.4041,5.948e-17
19584,75.0,-13.4041,4.485e-16
51328,199.0,-13.4041,1.683e-09
18816,72.0,-13.4041,3.718e-16
32896,127.0,-13.4041,1.655e-14
34688,134.0,-13.4041,1.402e-13
18560,71.0,-13.4041,3.596e-16
26496,102.0,-13.4041,1.445e-15
32128,124.0,-13.4041,8.645e-15
43136,167.0,-13.4041,4.014e-11
10624,40.0,-13.4041,1.267e-16
41088,159.0,-13.4041,1.454e-11
33152,128.0,-13.4041,2.174e-14
29568,114.0,-13.4041,3.257e-15
34432,133.0,-13.4041,1.172e-13
4992,18.0,-13.4041,7.695e-17
44416,172.0,-13.4041,6.962e-11
46208,179.0,-13.4041,1.674e-10
15488,59.0,-13.4041,2.195e-16
27008,104.0,-13.4041,1.554e-15
28288,109.0,-13.4041,2.249e-15
50560,196.0,-13.4041,1.213e-09
28032,108.0,-13.4041,2.111e-15
44672,173.0,-13.4041,8.839e-11
33408,129.0,-13.4041,2.693e-14
47232,183.0,-13.4041,2.817e-10
18304,70.0,-13.4041,3.404e-16
38528,149.0,-13.4041,4.737e-12
29056,112.0,-13.4041,2.714e-15
1152,3.0,-13.4041,6.164e-17
5760,21.0,-13.4041,8.12e-17
11648,44.0,-13.4041,1.429e-16
11392,43.0,-13.4041,1.392e-16
40320,156.0,-13.4041,9.896e-12
38784,150.0,-13.4041,4.689e-12
13184,50.0,-13.4041,1.659e-16
12928,49.0,-13.4041,1.613e-16
